v3	I(R1)
Step Information: Ib=10µ  (Run: 1/6)
-5.000000000000000e-001	-6.318870e-005
-4.900000000000000e-001	-6.318868e-005
-4.800000000000000e-001	-6.318864e-005
-4.700000000000000e-001	-6.318859e-005
-4.600000000000000e-001	-6.318853e-005
-4.500000000000000e-001	-6.318845e-005
-4.400000000000000e-001	-6.318833e-005
-4.299999999999999e-001	-6.318817e-005
-4.199999999999999e-001	-6.318796e-005
-4.099999999999999e-001	-6.318768e-005
-3.999999999999999e-001	-6.318730e-005
-3.899999999999999e-001	-6.318679e-005
-3.799999999999999e-001	-6.318611e-005
-3.699999999999999e-001	-6.318522e-005
-3.599999999999999e-001	-6.318404e-005
-3.499999999999999e-001	-6.318247e-005
-3.399999999999999e-001	-6.318039e-005
-3.299999999999999e-001	-6.317764e-005
-3.199999999999998e-001	-6.317401e-005
-3.099999999999998e-001	-6.316919e-005
-2.999999999999998e-001	-6.316283e-005
-2.899999999999998e-001	-6.315440e-005
-2.799999999999998e-001	-6.314324e-005
-2.699999999999998e-001	-6.312849e-005
-2.599999999999998e-001	-6.310896e-005
-2.499999999999998e-001	-6.308313e-005
-2.399999999999998e-001	-6.304897e-005
-2.299999999999998e-001	-6.300381e-005
-2.199999999999998e-001	-6.294413e-005
-2.099999999999997e-001	-6.286532e-005
-1.999999999999997e-001	-6.276130e-005
-1.899999999999997e-001	-6.262412e-005
-1.799999999999997e-001	-6.244340e-005
-1.699999999999997e-001	-6.220568e-005
-1.599999999999997e-001	-6.189351e-005
-1.499999999999997e-001	-6.148448e-005
-1.399999999999997e-001	-6.095004e-005
-1.299999999999997e-001	-6.025424e-005
-1.199999999999997e-001	-5.935243e-005
-1.099999999999997e-001	-5.819021e-005
-9.999999999999969e-002	-5.670300e-005
-8.999999999999969e-002	-5.481664e-005
-7.999999999999970e-002	-5.244997e-005
-6.999999999999970e-002	-4.951993e-005
-5.999999999999970e-002	-4.595012e-005
-4.999999999999970e-002	-4.168280e-005
-3.999999999999970e-002	-3.669351e-005
-2.999999999999969e-002	-3.100582e-005
-1.999999999999969e-002	-2.470234e-005
-9.999999999999691e-003	-1.792761e-005
3.087807787238717e-016	-1.087942e-005
1.000000000000031e-002	-3.788531e-006
2.000000000000031e-002	3.109533e-006
3.000000000000031e-002	9.603756e-006
4.000000000000031e-002	1.553079e-005
5.000000000000032e-002	2.078722e-005
6.000000000000032e-002	2.533003e-005
