v3	V(x)	V(y)
-4.000000000000000e-001	-2.109155e-001	-4.000000e-001
-3.900000000000000e-001	-2.107163e-001	-3.900000e-001
-3.800000000000000e-001	-2.103602e-001	-3.800000e-001
-3.700000000000000e-001	-2.099270e-001	-3.700000e-001
-3.600000000000000e-001	-2.093482e-001	-3.600000e-001
-3.500000000000000e-001	-2.085878e-001	-3.500000e-001
-3.400000000000000e-001	-2.076069e-001	-3.400000e-001
-3.300000000000000e-001	-2.063683e-001	-3.300000e-001
-3.200000000000000e-001	-2.048395e-001	-3.200000e-001
-3.099999999999999e-001	-2.029970e-001	-3.100000e-001
-2.999999999999999e-001	-2.008275e-001	-3.000000e-001
-2.899999999999999e-001	-1.983287e-001	-2.900000e-001
-2.799999999999999e-001	-1.955070e-001	-2.800000e-001
-2.699999999999999e-001	-1.923747e-001	-2.700000e-001
-2.599999999999999e-001	-1.889465e-001	-2.600000e-001
-2.499999999999999e-001	-1.852361e-001	-2.500000e-001
-2.399999999999999e-001	-1.812539e-001	-2.400000e-001
-2.299999999999999e-001	-1.770051e-001	-2.300000e-001
-2.199999999999999e-001	-1.724886e-001	-2.200000e-001
-2.099999999999999e-001	-1.676980e-001	-2.100000e-001
-1.999999999999998e-001	-1.626217e-001	-2.000000e-001
-1.899999999999998e-001	-1.572458e-001	-1.900000e-001
-1.799999999999998e-001	-1.515559e-001	-1.800000e-001
-1.699999999999998e-001	-1.455398e-001	-1.700000e-001
-1.599999999999998e-001	-1.391896e-001	-1.600000e-001
-1.499999999999998e-001	-1.325026e-001	-1.500000e-001
-1.399999999999998e-001	-1.254813e-001	-1.400000e-001
-1.299999999999998e-001	-1.181329e-001	-1.300000e-001
-1.199999999999998e-001	-1.104683e-001	-1.200000e-001
-1.099999999999998e-001	-1.025016e-001	-1.100000e-001
-9.999999999999980e-002	-9.424996e-002	-1.000000e-001
-8.999999999999980e-002	-8.573537e-002	-9.000000e-002
-7.999999999999981e-002	-7.698610e-002	-8.000000e-002
-6.999999999999981e-002	-6.803772e-002	-7.000000e-002
-5.999999999999981e-002	-5.893077e-002	-6.000000e-002
-4.999999999999981e-002	-4.970532e-002	-5.000000e-002
-3.999999999999981e-002	-4.039570e-002	-4.000000e-002
-2.999999999999981e-002	-3.102805e-002	-3.000000e-002
-1.999999999999980e-002	-2.162085e-002	-2.000000e-002
-9.999999999999802e-003	-1.218677e-002	-1.000000e-002
1.977584762613560e-016	-2.734407e-003	1.977585e-016
1.000000000000020e-002	6.730249e-003	1.000000e-002
2.000000000000020e-002	1.620293e-002	2.000000e-002
3.000000000000020e-002	2.568044e-002	3.000000e-002
4.000000000000020e-002	3.516029e-002	4.000000e-002
5.000000000000020e-002	4.464041e-002	5.000000e-002
6.000000000000021e-002	5.411895e-002	6.000000e-002
7.000000000000020e-002	6.359415e-002	7.000000e-002
8.000000000000020e-002	7.306418e-002	8.000000e-002
9.000000000000019e-002	8.252700e-002	9.000000e-002
1.000000000000002e-001	9.198017e-002	1.000000e-001
1.100000000000002e-001	1.014205e-001	1.100000e-001
1.200000000000002e-001	1.108435e-001	1.200000e-001
1.300000000000002e-001	1.202428e-001	1.300000e-001
1.400000000000002e-001	1.296086e-001	1.400000e-001
1.500000000000002e-001	1.389255e-001	1.500000e-001
1.600000000000002e-001	1.481690e-001	1.600000e-001
1.700000000000002e-001	1.573018e-001	1.700000e-001
1.800000000000002e-001	1.662717e-001	1.800000e-001
1.900000000000002e-001	1.750154e-001	1.900000e-001
2.000000000000002e-001	1.834709e-001	2.000000e-001
2.100000000000002e-001	1.915890e-001	2.100000e-001
2.200000000000003e-001	1.993384e-001	2.200000e-001
2.300000000000003e-001	2.067015e-001	2.300000e-001
2.400000000000003e-001	2.136702e-001	2.400000e-001
2.500000000000003e-001	2.202422e-001	2.500000e-001
2.600000000000003e-001	2.264202e-001	2.600000e-001
2.700000000000003e-001	2.322121e-001	2.700000e-001
2.800000000000003e-001	2.376306e-001	2.800000e-001
2.900000000000003e-001	2.426918e-001	2.900000e-001
3.000000000000003e-001	2.474125e-001	3.000000e-001
3.100000000000003e-001	2.518084e-001	3.100000e-001
3.200000000000003e-001	2.558907e-001	3.200000e-001
3.300000000000004e-001	2.596654e-001	3.300000e-001
3.400000000000004e-001	2.631324e-001	3.400000e-001
3.500000000000004e-001	2.662872e-001	3.500000e-001
3.600000000000004e-001	2.691225e-001	3.600000e-001
3.700000000000004e-001	2.716317e-001	3.700000e-001
3.800000000000004e-001	2.738119e-001	3.800000e-001
3.900000000000004e-001	2.756674e-001	3.900000e-001
4.000000000000000e-001	2.772117e-001	4.000000e-001
