Freq.	Vx/Vy
1.00000000000000e+000	-1.21883579501108e-001  -9.54856077303799e-005 
1.00230523807790e+000	-1.21883579505038e-001  -9.57057247893436e-005 
1.00461579027840e+000	-1.21883579508992e-001  -9.59263492705328e-005 
1.00693166885180e+000	-1.21883579512962e-001  -9.61474823436767e-005 
1.00925288607668e+000	-1.21883579516948e-001  -9.63691251812040e-005 
1.01157945425990e+000	-1.21883579520951e-001  -9.65912789582405e-005 
1.01391138573668e+000	-1.21883579524975e-001  -9.68139448526215e-005 
1.01624869287070e+000	-1.21883579529013e-001  -9.70371240449049e-005 
1.01859138805412e+000	-1.21883579533076e-001  -9.72608177183600e-005 
1.02093948370768e+000	-1.21883579537158e-001  -9.74850270589902e-005 
1.02329299228075e+000	-1.21883579541256e-001  -9.77097532555297e-005 
1.02565192625141e+000	-1.21883579545372e-001  -9.79349974994582e-005 
1.02801629812647e+000	-1.21883579549510e-001  -9.81607609849930e-005 
1.03038612044162e+000	-1.21883579553665e-001  -9.83870449091128e-005 
1.03276140576140e+000	-1.21883579557838e-001  -9.86138504715517e-005 
1.03514216667934e+000	-1.21883579562032e-001  -9.88411788748126e-005 
1.03752841581801e+000	-1.21883579566246e-001  -9.90690313241630e-005 
1.03992016582906e+000	-1.21883579570476e-001  -9.92974090276591e-005 
1.04231742939330e+000	-1.21883579574732e-001  -9.95263131961318e-005 
1.04472021922080e+000	-1.21883579579007e-001  -9.97557450432119e-005 
1.04712854805090e+000	-1.21883579583295e-001  -9.99857057853251e-005 
1.04954242865232e+000	-1.21883579587605e-001  -1.00216196641698e-004 
1.05196187382322e+000	-1.21883579591938e-001  -1.00447218834369e-004 
1.05438689639126e+000	-1.21883579596288e-001  -1.00678773588196e-004 
1.05681750921366e+000	-1.21883579600660e-001  -1.00910862130862e-004 
1.05925372517729e+000	-1.21883579605053e-001  -1.01143485692872e-004 
1.06169555719872e+000	-1.21883579609464e-001  -1.01376645507578e-004 
1.06414301822431e+000	-1.21883579613898e-001  -1.01610342811169e-004 
1.06659612123026e+000	-1.21883579618353e-001  -1.01844578842683e-004 
1.06905487922266e+000	-1.21883579622821e-001  -1.02079354844018e-004 
1.07151930523761e+000	-1.21883579627319e-001  -1.02314672059930e-004 
1.07398941234124e+000	-1.21883579631836e-001  -1.02550531738052e-004 
1.07646521362983e+000	-1.21883579636370e-001  -1.02786935128884e-004 
1.07894672222983e+000	-1.21883579640924e-001  -1.03023883485818e-004 
1.08143395129794e+000	-1.21883579645500e-001  -1.03261378065127e-004 
1.08392691402120e+000	-1.21883579650101e-001  -1.03499420125984e-004 
1.08642562361706e+000	-1.21883579654720e-001  -1.03738010930464e-004 
1.08893009333343e+000	-1.21883579659360e-001  -1.03977151743555e-004 
1.09144033644876e+000	-1.21883579664020e-001  -1.04216843833154e-004 
1.09395636627209e+000	-1.21883579668707e-001  -1.04457088470087e-004 
1.09647819614318e+000	-1.21883579673415e-001  -1.04697886928105e-004 
1.09900583943252e+000	-1.21883579678141e-001  -1.04939240483901e-004 
1.10153930954141e+000	-1.21883579682889e-001  -1.05181150417103e-004 
1.10407861990207e+000	-1.21883579687663e-001  -1.05423618010297e-004 
1.10662378397766e+000	-1.21883579692452e-001  -1.05666644549021e-004 
1.10917481526240e+000	-1.21883579697269e-001  -1.05910231321774e-004 
1.11173172728159e+000	-1.21883579702105e-001  -1.06154379620036e-004 
1.11429453359173e+000	-1.21883579706963e-001  -1.06399090738250e-004 
1.11686324778056e+000	-1.21883579711845e-001  -1.06644365973856e-004 
1.11943788346715e+000	-1.21883579716751e-001  -1.06890206627273e-004 
1.12201845430196e+000	-1.21883579721680e-001  -1.07136614001929e-004 
1.12460497396692e+000	-1.21883579726627e-001  -1.07383589404248e-004 
1.12719745617551e+000	-1.21883579731600e-001  -1.07631134143669e-004 
1.12979591467280e+000	-1.21883579736599e-001  -1.07879249532652e-004 
1.13240036323556e+000	-1.21883579741612e-001  -1.08127936886677e-004 
1.13501081567231e+000	-1.21883579746660e-001  -1.08377197524263e-004 
1.13762728582343e+000	-1.21883579751725e-001  -1.08627032766963e-004 
1.14024978756117e+000	-1.21883579756816e-001  -1.08877443939378e-004 
1.14287833478977e+000	-1.21883579761927e-001  -1.09128432369166e-004 
1.14551294144553e+000	-1.21883579767062e-001  -1.09379999387039e-004 
1.14815362149688e+000	-1.21883579772221e-001  -1.09632146326784e-004 
1.15080038894443e+000	-1.21883579777405e-001  -1.09884874525256e-004 
1.15345325782109e+000	-1.21883579782611e-001  -1.10138185322396e-004 
1.15611224219210e+000	-1.21883579787843e-001  -1.10392080061232e-004 
1.15877735615512e+000	-1.21883579793099e-001  -1.10646560087889e-004 
1.16144861384034e+000	-1.21883579798379e-001  -1.10901626751596e-004 
1.16412602941049e+000	-1.21883579803682e-001  -1.11157281404689e-004 
1.16680961706096e+000	-1.21883579809013e-001  -1.11413525402626e-004 
1.16949939101987e+000	-1.21883579814365e-001  -1.11670360103983e-004 
1.17219536554813e+000	-1.21883579819746e-001  -1.11927786870477e-004 
1.17489755493953e+000	-1.21883579825149e-001  -1.12185807066957e-004 
1.17760597352080e+000	-1.21883579830571e-001  -1.12444422061419e-004 
1.18032063565173e+000	-1.21883579836028e-001  -1.12703633225016e-004 
1.18304155572516e+000	-1.21883579841507e-001  -1.12963441932059e-004 
1.18576874816716e+000	-1.21883579847010e-001  -1.13223849560027e-004 
1.18850222743702e+000	-1.21883579852534e-001  -1.13484857489578e-004 
1.19124200802737e+000	-1.21883579858091e-001  -1.13746467104546e-004 
1.19398810446427e+000	-1.21883579863673e-001  -1.14008679791963e-004 
1.19674053130724e+000	-1.21883579869277e-001  -1.14271496942053e-004 
1.19949930314938e+000	-1.21883579874909e-001  -1.14534919948246e-004 
1.20226443461741e+000	-1.21883579880565e-001  -1.14798950207185e-004 
1.20503594037179e+000	-1.21883579886246e-001  -1.15063589118733e-004 
1.20781383510678e+000	-1.21883579891956e-001  -1.15328838085979e-004 
1.21059813355048e+000	-1.21883579897694e-001  -1.15594698515244e-004 
1.21338885046497e+000	-1.21883579903457e-001  -1.15861171816096e-004 
1.21618600064636e+000	-1.21883579909247e-001  -1.16128259401350e-004 
1.21898959892486e+000	-1.21883579915063e-001  -1.16395962687078e-004 
1.22179966016487e+000	-1.21883579920904e-001  -1.16664283092615e-004 
1.22461619926504e+000	-1.21883579926775e-001  -1.16933222040568e-004 
1.22743923115840e+000	-1.21883579932666e-001  -1.17202780956828e-004 
1.23026877081238e+000	-1.21883579938592e-001  -1.17472961270565e-004 
1.23310483322890e+000	-1.21883579944542e-001  -1.17743764414254e-004 
1.23594743344451e+000	-1.21883579950520e-001  -1.18015191823661e-004 
1.23879658653036e+000	-1.21883579956527e-001  -1.18287244937871e-004 
1.24165230759241e+000	-1.21883579962565e-001  -1.18559925199280e-004 
1.24451461177138e+000	-1.21883579968625e-001  -1.18833234053612e-004 
1.24738351424294e+000	-1.21883579974720e-001  -1.19107172949923e-004 
1.25025903021771e+000	-1.21883579980835e-001  -1.19381743340613e-004 
1.25314117494141e+000	-1.21883579986980e-001  -1.19656946681423e-004 
1.25602996369487e+000	-1.21883579993152e-001  -1.19932784431456e-004 
1.25892541179416e+000	-1.21883579999359e-001  -1.20209258053174e-004 
1.26182753459066e+000	-1.21883580005592e-001  -1.20486369012414e-004 
1.26473634747115e+000	-1.21883580011851e-001  -1.20764118778394e-004 
1.26765186585784e+000	-1.21883580018140e-001  -1.21042508823707e-004 
1.27057410520854e+000	-1.21883580024458e-001  -1.21321540624361e-004 
1.27350308101666e+000	-1.21883580030806e-001  -1.21601215659744e-004 
1.27643880881134e+000	-1.21883580037184e-001  -1.21881535412671e-004 
1.27938130415752e+000	-1.21883580043589e-001  -1.22162501369369e-004 
1.28233058265602e+000	-1.21883580050027e-001  -1.22444115019491e-004 
1.28528665994361e+000	-1.21883580056492e-001  -1.22726377856123e-004 
1.28824955169313e+000	-1.21883580062986e-001  -1.23009291375797e-004 
1.29121927361353e+000	-1.21883580069511e-001  -1.23292857078493e-004 
1.29419584144998e+000	-1.21883580076069e-001  -1.23577076467645e-004 
1.29717927098395e+000	-1.21883580082656e-001  -1.23861951050156e-004 
1.30016957803328e+000	-1.21883580089270e-001  -1.24147482336406e-004 
1.30316677845229e+000	-1.21883580095921e-001  -1.24433671840247e-004 
1.30617088813183e+000	-1.21883580102598e-001  -1.24720521079036e-004 
1.30918192299940e+000	-1.21883580109302e-001  -1.25008031573615e-004 
1.31219989901920e+000	-1.21883580116042e-001  -1.25296204848334e-004 
1.31522483219223e+000	-1.21883580122814e-001  -1.25585042431063e-004 
1.31825673855640e+000	-1.21883580129613e-001  -1.25874545853186e-004 
1.32129563418657e+000	-1.21883580136451e-001  -1.26164716649624e-004 
1.32434153519466e+000	-1.21883580143312e-001  -1.26455556358834e-004 
1.32739445772973e+000	-1.21883580150213e-001  -1.26747066522817e-004 
1.33045441797808e+000	-1.21883580157141e-001  -1.27039248687135e-004 
1.33352143216332e+000	-1.21883580164098e-001  -1.27332104400903e-004 
1.33659551654643e+000	-1.21883580171091e-001  -1.27625635216817e-004 
1.33967668742593e+000	-1.21883580178117e-001  -1.27919842691146e-004 
1.34276496113786e+000	-1.21883580185174e-001  -1.28214728383750e-004 
1.34586035405594e+000	-1.21883580192261e-001  -1.28510293858085e-004 
1.34896288259164e+000	-1.21883580199385e-001  -1.28806540681206e-004 
1.35207256319427e+000	-1.21883580206539e-001  -1.29103470423788e-004 
1.35518941235103e+000	-1.21883580213730e-001  -1.29401084660120e-004 
1.35831344658715e+000	-1.21883580220949e-001  -1.29699384968125e-004 
1.36144468246594e+000	-1.21883580228206e-001  -1.29998372929361e-004 
1.36458313658892e+000	-1.21883580235490e-001  -1.30298050129034e-004 
1.36772882559584e+000	-1.21883580242815e-001  -1.30598418155998e-004 
1.37088176616484e+000	-1.21883580250170e-001  -1.30899478602779e-004 
1.37404197501251e+000	-1.21883580257561e-001  -1.31201233065567e-004 
1.37720946889394e+000	-1.21883580264988e-001  -1.31503683144236e-004 
1.38038426460288e+000	-1.21883580272444e-001  -1.31806830442348e-004 
1.38356637897177e+000	-1.21883580279933e-001  -1.32110676567154e-004 
1.38675582887188e+000	-1.21883580287462e-001  -1.32415223129618e-004 
1.38995263121334e+000	-1.21883580295024e-001  -1.32720471744418e-004 
1.39315680294529e+000	-1.21883580302619e-001  -1.33026424029952e-004 
1.39636836105593e+000	-1.21883580310250e-001  -1.33333081608346e-004 
1.39958732257261e+000	-1.21883580317922e-001  -1.33640446105468e-004 
1.40281370456195e+000	-1.21883580325620e-001  -1.33948519150937e-004 
1.40604752412990e+000	-1.21883580333363e-001  -1.34257302378121e-004 
1.40928879842186e+000	-1.21883580341134e-001  -1.34566797424161e-004 
1.41253754462274e+000	-1.21883580348943e-001  -1.34877005929971e-004 
1.41579377995707e+000	-1.21883580356793e-001  -1.35187929540241e-004 
1.41905752168908e+000	-1.21883580364670e-001  -1.35499569903462e-004 
1.42232878712281e+000	-1.21883580372583e-001  -1.35811928671915e-004 
1.42560759360218e+000	-1.21883580380541e-001  -1.36125007501699e-004 
1.42889395851109e+000	-1.21883580388531e-001  -1.36438808052725e-004 
