v4	V(x)
-9.000000000000000e-001	-8.241672e-001
-8.900000000000000e-001	-8.241394e-001
-8.800000000000000e-001	-8.240885e-001
-8.700000000000000e-001	-8.240213e-001
-8.600000000000000e-001	-8.239201e-001
-8.500000000000000e-001	-8.237506e-001
-8.400000000000000e-001	-8.233568e-001
-8.300000000000000e-001	-8.217527e-001
-8.200000000000000e-001	-8.179055e-001
-8.099999999999999e-001	-8.126313e-001
-7.999999999999999e-001	-8.063079e-001
-7.899999999999999e-001	-7.991450e-001
-7.799999999999999e-001	-7.913384e-001
-7.699999999999999e-001	-7.830341e-001
-7.599999999999999e-001	-7.743440e-001
-7.499999999999999e-001	-7.653522e-001
-7.399999999999999e-001	-7.561225e-001
-7.299999999999999e-001	-7.467037e-001
-7.199999999999999e-001	-7.371331e-001
-7.099999999999999e-001	-7.274399e-001
-6.999999999999998e-001	-7.176474e-001
-6.899999999999998e-001	-7.077737e-001
-6.799999999999998e-001	-6.978341e-001
-6.699999999999998e-001	-6.878407e-001
-6.599999999999998e-001	-6.778041e-001
-6.499999999999998e-001	-6.677331e-001
-6.399999999999998e-001	-6.576355e-001
-6.299999999999998e-001	-6.475179e-001
-6.199999999999998e-001	-6.373864e-001
-6.099999999999998e-001	-6.272460e-001
-5.999999999999998e-001	-6.171011e-001
-5.899999999999998e-001	-6.069554e-001
-5.799999999999997e-001	-5.968117e-001
-5.699999999999997e-001	-5.866721e-001
-5.599999999999997e-001	-5.765378e-001
-5.499999999999997e-001	-5.664097e-001
-5.399999999999997e-001	-5.562877e-001
-5.299999999999997e-001	-5.461714e-001
-5.199999999999997e-001	-5.360598e-001
-5.099999999999997e-001	-5.259522e-001
-4.999999999999997e-001	-5.158479e-001
-4.899999999999997e-001	-5.057470e-001
-4.799999999999997e-001	-4.956505e-001
-4.699999999999996e-001	-4.855610e-001
-4.599999999999996e-001	-4.754824e-001
-4.499999999999996e-001	-4.654198e-001
-4.399999999999996e-001	-4.553793e-001
-4.299999999999996e-001	-4.453673e-001
-4.199999999999996e-001	-4.353895e-001
-4.099999999999996e-001	-4.254507e-001
-3.999999999999996e-001	-4.155540e-001
-3.899999999999996e-001	-4.057009e-001
-3.799999999999996e-001	-3.958911e-001
-3.699999999999996e-001	-3.861227e-001
-3.599999999999995e-001	-3.763928e-001
-3.499999999999995e-001	-3.666972e-001
-3.399999999999995e-001	-3.570314e-001
-3.299999999999995e-001	-3.473903e-001
-3.199999999999995e-001	-3.377688e-001
-3.099999999999995e-001	-3.281614e-001
-2.999999999999995e-001	-3.185629e-001
-2.899999999999995e-001	-3.089682e-001
-2.799999999999995e-001	-2.993721e-001
-2.699999999999995e-001	-2.897700e-001
-2.599999999999995e-001	-2.801573e-001
-2.499999999999994e-001	-2.705300e-001
-2.399999999999994e-001	-2.608845e-001
-2.299999999999994e-001	-2.512182e-001
-2.199999999999994e-001	-2.415292e-001
-2.099999999999994e-001	-2.318169e-001
-1.999999999999994e-001	-2.220815e-001
-1.899999999999994e-001	-2.123246e-001
-1.799999999999994e-001	-2.025483e-001
-1.699999999999994e-001	-1.927552e-001
-1.599999999999994e-001	-1.829480e-001
-1.499999999999994e-001	-1.731292e-001
-1.399999999999994e-001	-1.633010e-001
-1.299999999999993e-001	-1.534653e-001
-1.199999999999993e-001	-1.436237e-001
-1.099999999999994e-001	-1.337774e-001
-9.999999999999935e-002	-1.239274e-001
-8.999999999999936e-002	-1.140745e-001
-7.999999999999936e-002	-1.042194e-001
-6.999999999999937e-002	-9.436256e-002
-5.999999999999937e-002	-8.450445e-002
-4.999999999999936e-002	-7.464541e-002
-3.999999999999936e-002	-6.478576e-002
-2.999999999999936e-002	-5.492572e-002
-1.999999999999936e-002	-4.506552e-002
-9.999999999999358e-003	-3.520535e-002
6.418476861114186e-016	-2.534537e-002
1.000000000000064e-002	-1.548575e-002
2.000000000000064e-002	-5.626610e-003
3.000000000000064e-002	4.231917e-003
4.000000000000065e-002	1.408971e-002
5.000000000000065e-002	2.394666e-002
6.000000000000065e-002	3.380264e-002
7.000000000000065e-002	4.365756e-002
8.000000000000064e-002	5.351131e-002
9.000000000000064e-002	6.336377e-002
1.000000000000006e-001	7.321484e-002
1.100000000000006e-001	8.306440e-002
1.200000000000006e-001	9.291233e-002
1.300000000000006e-001	1.027585e-001
1.400000000000006e-001	1.126028e-001
1.500000000000006e-001	1.224451e-001
1.600000000000006e-001	1.322853e-001
1.700000000000007e-001	1.421231e-001
1.800000000000007e-001	1.519584e-001
1.900000000000007e-001	1.617911e-001
2.000000000000007e-001	1.716209e-001
2.100000000000007e-001	1.814475e-001
2.200000000000007e-001	1.912709e-001
2.300000000000007e-001	2.010906e-001
2.400000000000007e-001	2.109064e-001
2.500000000000007e-001	2.207179e-001
2.600000000000007e-001	2.305248e-001
2.700000000000007e-001	2.403266e-001
2.800000000000008e-001	2.501229e-001
2.900000000000008e-001	2.599131e-001
3.000000000000008e-001	2.696965e-001
3.100000000000008e-001	2.794725e-001
3.200000000000008e-001	2.892402e-001
3.300000000000008e-001	2.989987e-001
3.400000000000008e-001	3.087469e-001
3.500000000000008e-001	3.184835e-001
3.600000000000008e-001	3.282070e-001
3.700000000000008e-001	3.379157e-001
3.800000000000008e-001	3.476075e-001
3.900000000000009e-001	3.572799e-001
4.000000000000009e-001	3.669300e-001
4.100000000000009e-001	3.765540e-001
4.200000000000009e-001	3.861476e-001
4.300000000000009e-001	3.957050e-001
4.400000000000009e-001	4.052190e-001
4.500000000000009e-001	4.146804e-001
4.600000000000009e-001	4.240773e-001
4.700000000000009e-001	4.333940e-001
4.800000000000009e-001	4.426100e-001
4.900000000000009e-001	4.516982e-001
5.000000000000009e-001	4.606237e-001
5.100000000000009e-001	4.693429e-001
5.200000000000009e-001	4.778035e-001
5.300000000000009e-001	4.859479e-001
5.400000000000009e-001	4.937184e-001
5.500000000000009e-001	5.010651e-001
5.600000000000009e-001	5.079511e-001
5.700000000000010e-001	5.143571e-001
5.800000000000010e-001	5.202795e-001
5.900000000000010e-001	5.257286e-001
6.000000000000010e-001	5.307248e-001
6.100000000000010e-001	5.352944e-001
6.200000000000010e-001	5.394673e-001
6.300000000000010e-001	5.432749e-001
6.400000000000010e-001	5.467486e-001
6.500000000000010e-001	5.499185e-001
6.600000000000010e-001	5.528132e-001
6.700000000000010e-001	5.554593e-001
6.800000000000011e-001	5.578811e-001
6.900000000000011e-001	5.601010e-001
7.000000000000011e-001	5.621391e-001
7.100000000000011e-001	5.640135e-001
7.200000000000011e-001	5.657406e-001
7.300000000000011e-001	5.673350e-001
7.400000000000011e-001	5.688095e-001
7.500000000000011e-001	5.701759e-001
7.600000000000011e-001	5.714444e-001
7.700000000000011e-001	5.726243e-001
7.800000000000011e-001	5.737237e-001
7.900000000000012e-001	5.747499e-001
8.000000000000012e-001	5.757096e-001
8.100000000000012e-001	5.766085e-001
8.200000000000012e-001	5.774518e-001
8.300000000000012e-001	5.782442e-001
